Date,Close/Last,COMP,NATS,MSCI
12/15/2020,7427.22,12595.06,1418.51,3606.66
12/14/2020,7327.03,12440.04,1415.17,3561.26
12/11/2020,7258.28,12377.87,1407.47,3572.21
12/10/2020,7275.83,12405.81,1400.48,3576.91
12/9/2020,7271.35,12338.95,1386.57,3574.99
12/8/2020,7443.59,12582.77,1421.57,3611.1
12/7/2020,7411.35,12519.95,1412.02,3598.66
12/4/2020,7394.85,12464.23,1406.06,3600.91
12/3/2020,7251.87,12377.18,1392.72,3569.02
12/2/2020,7274.13,12349.37,1383.85,3567.44
12/1/2020,7254.33,12355.11,1395.34,3563.62
11/30/2020,7170.51,12198.74,1404.93,3527.53
11/27/2020,7122.22,12205.85,1401.33,3542.36
11/25/2020,7034.05,12094.4,1378.33,3530.75
11/24/2020,7028.88,12037.33,1364.83,3531.8
11/23/2020,6961.81,11881.17,1359.1,3477.81
11/20/2020,6927.58,11854.97,1359.84,3456.09
11/19/2020,6977.14,11904.71,1364.77,3477.5
11/18/2020,6881.3,11801.6,1340.13,3460.4
11/17/2020,6958.38,11899.34,1350.97,3495.86
11/16/2020,6995.15,11924.13,1335.45,3507.61
11/13/2020,6915.64,11829.29,1335.77,3468.51
11/12/2020,6830.06,11709.59,1331.33,3424.7
11/11/2020,6894.63,11786.43,1335.62,3456.91
11/10/2020,6714.78,11553.86,1297.77,3427.05
11/9/2020,6901.96,11713.78,1342.33,3435.29
11/6/2020,6996.94,11895.23,1388.68,3407.54
11/5/2020,6945.64,11890.93,1378.85,3406.63
11/4/2020,6740.2,11590.78,1344.67,3339.37
11/3/2020,6473.67,11160.57,1280.63,3263.76
11/2/2020,6346.76,10957.61,1253.75,3205.02
10/30/2020,6320.77,10911.59,1260.73,3166.93
10/29/2020,6437.22,11185.59,1293.45,3211.53
10/28/2020,6307.99,11004.87,1285.04,3174.68
10/27/2020,6531.36,11431.35,1333.41,3288.82
10/26/2020,6524.52,11358.94,1323.41,3297.41
10/23/2020,6659.53,11548.28,1357.35,3358.93
10/22/2020,6652.92,11506.01,1348.33,3347.35
10/21/2020,6680.45,11484.69,1355.09,3330.6
10/20/2020,6697.7,11516.49,1367.4,3339.04
10/19/2020,6687.58,11478.88,1373.58,3325.55
10/16/2020,6772.08,11671.56,1387.48,3379.31
10/15/2020,6785.69,11713.87,1382.3,3380.13
10/14/2020,6817.79,11768.73,1385.14,3385.27
10/13/2020,6843.46,11863.9,1396.78,3407.1
10/12/2020,6850.19,11876.26,1385.54,3425.17
10/9/2020,6709.67,11579.94,1367.18,3370.62
10/8/2020,6604,11420.98,1340.04,3340.57
10/7/2020,6545.5,11364.6,1338.7,3314.91
10/6/2020,6419.6,11154.6,1308.01,3258.03
10/5/2020,6491.05,11332.49,1315.91,3302.95
10/2/2020,6341.8,11075.02,1294.23,3243.91
10/1/2020,6513.26,11326.51,1319.21,3276.8
9/30/2020,6401.73,11167.51,1296.8,3254.94
9/29/2020,6394.8,11085.25,1291.49,3228.71
9/28/2020,6395.29,11117.52,1294.91,3243.59
9/25/2020,6267.17,10913.56,1280.18,3191.72
9/24/2020,6146.82,10672.27,1243.6,3138.25
9/23/2020,6119.78,10632.99,1249.27,3129.96
9/22/2020,6258.87,10963.64,1283.9,3208.13
9/21/2020,6163.56,10778.8,1259.44,3176.22
9/18/2020,6158.56,10793.28,1236.6,3208.57
9/17/2020,6241.33,10910.28,1243.56,3241.11
9/16/2020,6291.72,11050.47,1260.11,3270.16
9/15/2020,6363.08,11190.32,1279.86,3286.16
9/14/2020,6285.96,11056.65,1258.57,3266.05
9/11/2020,6172.09,10853.55,1235.18,3219.94
9/10/2020,6191.42,10919.59,1253.14,3219.24
9/9/2020,6294.84,11141.56,1269.07,3275.21
9/8/2020,6150.72,10847.69,1234.12,3207.54
9/4/2020,6435.31,11313.13,1278.7,3305.63
9/3/2020,6543.56,11458.1,1320.11,3334.54
9/2/2020,6915.12,12056.44,1398.65,3461.32
9/1/2020,6781.63,11939.67,1391.54,3414.21
8/31/2020,6651.3,11775.46,1351.28,3385.29
8/28/2020,6658.12,11695.63,1354.16,3386.44
8/27/2020,6557.04,11625.34,1339.44,3364.4
8/26/2020,6611.03,11665.06,1345.39,3358.65
8/25/2020,6515.61,11466.47,1274.3,3322.61
8/24/2020,6458.27,11379.72,1261.16,3310.56
8/21/2020,6408.71,11311.8,1255.19,3280.51
8/20/2020,6400.13,11264.95,1264.13,3268.88
8/19/2020,6358.49,11146.46,1238.9,3256.22
8/18/2020,6384.52,11210.84,1239.41,3271.45
8/17/2020,6372.03,11129.73,1225.18,3262.85
8/14/2020,6304.57,11019.3,1210.29,3248.97
8/13/2020,6332.94,11042.5,1216.5,3249.95
8/12/2020,6360.46,11012.24,1198.3,3253.49
8/11/2020,6224.3,10782.82,1186.8,3206.47
8/10/2020,6310.44,10968.36,1207.32,3233.33
8/7/2020,6330.84,11010.98,1226.54,3227.67
8/6/2020,6415.15,11108.07,1255.25,3228.82
8/5/2020,6424.57,10998.4,1252.25,3210.03
8/4/2020,6434.51,10941.17,1245.07,3189.37
8/3/2020,6379.6,10902.8,1249.68,3178.41
7/31/2020,6300.77,10745.27,1224.79,3153.99
7/30/2020,6271.73,10587.81,1215.83,3130.51
7/29/2020,6202.32,10542.94,1217.83,3140.76
7/28/2020,6087.28,10402.09,1192.79,3100.54
7/27/2020,6178.72,10536.27,1202.86,3122.66
7/24/2020,6056.31,10363.18,1183.53,3096.18
7/23/2020,6160.96,10461.42,1197.16,3117.56
7/22/2020,6270.14,10706.13,1222.17,3158.66
7/21/2020,6251.93,10680.36,1217.2,3140.63
7/20/2020,6300.96,10767.09,1231.71,3138.04
7/17/2020,6146.18,10503.19,1185.8,3107.77
7/16/2020,6097.32,10473.83,1174,3097.37
7/15/2020,6136.15,10550.49,1189.59,3108.57
7/14/2020,6122.22,10488.58,1187.48,3080
7/13/2020,6063.25,10390.84,1182.8,3039.27
7/10/2020,6204.61,10617.44,1236.96,3072.38
7/9/2020,6212.35,10547.75,1245.01,3040.36
7/8/2020,6145.35,10492.5,1235.28,3055.38
7/7/2020,6065.78,10343.89,1209.62,3029.85
7/6/2020,6124.41,10433.65,1219.14,3060.93
7/2/2020,5997.08,10207.63,1206.35,3011.4
7/1/2020,5948.33,10154.63,1202.35,2997.33
6/30/2020,5960.27,10058.77,1182.49,2980.73
6/29/2020,5834.06,9874.15,1158.48,2934.22
6/26/2020,5787.84,9757.22,1161.04,2893.15
6/25/2020,5864.11,10017,1170.44,2964.14
6/24/2020,5808.34,9909.17,1154.53,2930.82
6/23/2020,5942.02,10131.37,1180.01,3008.55
6/22/2020,5922.39,10056.47,1182.19,2996.4
6/19/2020,5872.05,9946.12,1157.71,2976.76
6/18/2020,5888.18,9943.05,1159.27,2992.21
6/17/2020,5878.95,9910.53,1141.98,2989.21
6/16/2020,5857.87,9895.87,1145.87,2998.49
6/15/2020,5729.98,9726.02,1123.5,2943.42
6/12/2020,5662.47,9588.81,1103.41,2915.7
6/11/2020,5577.63,9492.73,1086.24,2879.38
6/10/2020,5937.96,10020.35,1149.85,3057.44
6/9/2020,5915.05,9953.75,1132.05,3070.04
6/8/2020,5934.03,9924.74,1139.6,3093.62
6/5/2020,5915.47,9814.08,1124.44,3056.71
6/4/2020,5760.52,9615.81,1106.96,2981.73
6/3/2020,5783.06,9682.91,1133.26,2995.02
6/2/2020,5675.23,9608.37,1127.62,2955.15
6/1/2020,5610.49,9552.05,1126.75,2931.43
5/29/2020,5619.86,9489.87,1114.54,2918.45
5/28/2020,5499.21,9368.99,1090.42,2903.38
5/27/2020,5547.1,9412.36,1077.81,2909.41
5/26/2020,5493.2,9340.22,1077.54,2867.61
5/22/2020,5453.3,9324.59,1084.62,2832.78
5/21/2020,5432.77,9284.88,1071,2824.86
5/20/2020,5513.5,9375.78,1077.54,2846.24
5/19/2020,5370.01,9185.1,1060.76,2799.37
5/18/2020,5366.88,9234.83,1054.28,2828.03
5/15/2020,5193.21,9014.56,1044.03,2741.83
5/14/2020,5225.57,8943.72,1027.45,2730.66
5/13/2020,5124.94,8863.17,1020.94,2699.2
5/12/2020,5236.09,9002.55,1044.79,2748.57
5/11/2020,5366.34,9192.34,1070.76,2806.17
5/8/2020,5355.32,9121.32,1055.47,2805.05
5/7/2020,5245.13,8979.66,1046.32,2757.77
5/6/2020,5186.01,8854.39,1017.18,2724
5/5/2020,5140.95,8809.12,1005.28,2741.08
5/4/2020,5048.18,8710.71,984.02,2714.95
5/1/2020,4999.58,8604.95,965.86,2701.64
4/30/2020,5234,8889.55,1000.74,2780.19
4/29/2020,5338.01,8914.71,999.52,2807.5
4/28/2020,5125.77,8607.73,958.14,2733.53
4/27/2020,5198.8,8730.16,976.96,2748.44
4/24/2020,5134.99,8634.52,959.13,2705.7
4/23/2020,5035.21,8494.75,944.59,2668.27
4/22/2020,5079.41,8495.38,952.09,2669.37
4/21/2020,4856.8,8263.23,921.28,2608.72
4/20/2020,5076.43,8560.73,969.82,2692.43
4/17/2020,5156.76,8650.14,972.55,2740.34
4/16/2020,5086.88,8532.36,949.18,2667.97
4/15/2020,4992.71,8393.18,938.52,2652.56
4/14/2020,5095.82,8515.74,951.4,2711.5
4/13/2020,4892.85,8192.42,910.34,2630.85
4/9/2020,4872.04,8153.58,911.45,2657.07
4/8/2020,4905.42,8090.9,901.34,2617.37
4/7/2020,4757.95,7887.26,867.91,2529.9
4/6/2020,4783.16,7913.24,880.09,2532.67
4/3/2020,4378.9,7373.08,813.87,2364.36
4/2/2020,4459.01,7487.31,828.37,2401.62
4/1/2020,4378.75,7360.58,828.27,2350
3/31/2020,4606.71,7700.1,869.03,2459.87
3/30/2020,4687.48,7774.15,886.76,2500.02
3/27/2020,4502.7,7502.38,858.12,2420.7
3/26/2020,4726.88,7797.54,896.29,2504.23
3/25/2020,4441.51,7384.3,840.42,2357.18
3/24/2020,4478.83,7417.86,848.25,2328.08
3/23/2020,4091.46,6860.67,785.61,2128.07
3/20/2020,4030.77,6879.52,785.54,2190.98
3/19/2020,4178.29,7150.58,802.3,2288.57
3/18/2020,4072.6,6989.84,779.37,2272.43
3/17/2020,4373.62,7334.78,817.2,2399.78
3/16/2020,4043.34,6904.59,760.68,2266.21
3/13/2020,4660.58,7874.88,870.71,2578.81
3/12/2020,4229.47,7201.8,790.14,2363.68
3/11/2020,4694.43,7952.05,872.48,2612.29
3/10/2020,4928.09,8344.25,920.08,2747.86
3/9/2020,4690.86,7950.68,877.18,2619.87
3/6/2020,5086.42,8575.62,949.08,2837.92
3/5/2020,5197.42,8738.6,982.82,2888.41
3/4/2020,5367.52,9018.09,1012.77,2988.62
3/3/2020,5138.99,8684.09,975.28,2869.29
3/2/2020,5314.01,8952.16,1013.78,2950.52
2/28/2020,5135.31,8567.37,980.13,2822.38
2/27/2020,5077.97,8566.48,973.64,2846.07
2/26/2020,5325.34,8980.77,1017.11,2977.57
2/25/2020,5320.84,8965.61,1015.39,2990.3
2/24/2020,5481.01,9221.28,1044.27,3084.36
2/21/2020,5723.17,9576.59,1078.85,3191.16
2/20/2020,5872.84,9750.96,1103.88,3225.48
2/19/2020,5954.62,9817.18,1116.41,3236.73
2/18/2020,5867.2,9732.74,1109.68,3221.01
2/14/2020,5907.67,9731.18,1107.82,3229.48
2/13/2020,5909.47,9711.97,1098.28,3222.86
2/12/2020,5915.5,9725.96,1095.09,3226.69
2/11/2020,5847.53,9638.94,1086.34,3205.97
2/10/2020,5798.66,9628.39,1088.37,3199.3
2/7/2020,5721.41,9520.51,1073.84,3175.86
2/6/2020,5803.72,9572.15,1074.56,3193.08
2/5/2020,5761.13,9508.68,1068.12,3182.66
2/4/2020,5712.62,9467.97,1082.17,3151.71
2/3/2020,5564.53,9273.4,1054.31,3103.25
1/31/2020,5473.45,9150.94,1037.95,3078.78
1/30/2020,5621.13,9298.93,1055.68,3133.69
1/29/2020,5617.78,9275.16,1041.55,3123.56
1/28/2020,5673.06,9269.68,1043.57,3125.83
1/27/2020,5580.69,9139.31,1026.86,3094.4
1/24/2020,5742.86,9314.91,1043.43,3143.46
1/23/2020,5799.71,9402.48,1049.66,3171.84
